featured_text,featured_image,color,filter_options,featured_type
Giant,https://cdn-assets-eu.frontify.com/s3/frontify-enterprise-files-eu/eyJwYXRoIjoic3VwZXJjZWxsXC9maWxlXC9mbldWZUw1dkZXMUo1Y3czdHZwSC5wbmcifQ:supercell:bH86IQvvnnLMOqVLPY6JHoy69D-YTdZfBT3thIqkS4I?width=2400,Gold,Giant,Hero
Mini P.E.K.K.A,https://cdn-assets-eu.frontify.com/s3/frontify-enterprise-files-eu/eyJwYXRoIjoic3VwZXJjZWxsXC9maWxlXC9KMmlMcGFpbTRIcUtyN3JGdEpiVS5wbmcifQ:supercell:d_yT9MRwtmLdAYQZuvwD1BNM_SFifhVVFv_tS_FKuJ0?width=2400,Gold,Mini P.E.K.K.A,Hero
Musketeer,https://cdn-assets-eu.frontify.com/s3/frontify-enterprise-files-eu/eyJwYXRoIjoic3VwZXJjZWxsXC9maWxlXC9NQ0xrUGN3U3JHZ1dTckFWb20xcS5wbmcifQ:supercell:tv0xDwnNVo52MxdlajJa_2lianYQQx6wdxzYB0VR5Ng?width=2400,Gold,Musketeer,Hero
Knight,https://cdn-assets-eu.frontify.com/s3/frontify-enterprise-files-eu/eyJwYXRoIjoic3VwZXJjZWxsXC9maWxlXC9BYXd5ZTZkZ0pid1BLaENZS1pFVS5wbmcifQ:supercell:Mv1YsLUijFYdFlFep8fHcteCBbhuskwF05twQEwDzrw?width=2400,Gold,Knight,Hero
